,gdp,0,ipi_2,l_ipi,ipi_filtered,cf_cycle,cf_trend
2022/Q2,0.9,110.9,1.3711151736745864,4.7086288943563215,0.014056546599946644,0.021593770463080284,4.0151132757128805
2022/Q3,0.5,111.3,0.36068530207393756,4.712229258281499,0.008012697958504273,0.018580471168737206,4.014177255244982
2022/Q4,-0.4,110.2,-0.9883198562443796,4.702296896718814,-0.0007018050148962687,0.013742944830809747,4.001532736332804
2023/Q1,0.4,110.3,0.09074410163338875,4.703203926259457,-0.005100996179587258,0.010020312104972035,3.9986127149118644
2023/Q2,0.7,111.3,0.9066183136899442,4.712229258281499,-0.004508006070339774,0.009175721592751873,4.000932953758707
2023/Q3,0.8,112.6,1.1680143755615324,4.72384171570559,0.0015317288683423715,0.010812858023373326,4.003358591064756
2023/Q4,0.5,113.1,0.444049733570151,4.728272383122075,0.00650582545729782,0.012703124416485745,3.998349308400709
2024/Q1,1.2,113.5,0.35366931918656697,4.7318028369214575,0.006470786782734937,0.012271732158661626,3.994761470770496
2024/Q2,-0.2,113.5,0.0,4.7318028369214575,0.003769116663784434,0.008267154806589357,3.991216364435149
2024/Q3,0.1,113.0,-0.4405286343612369,4.727387818712341,,0.0015151785604258505,3.9860036387847755
2024/Q4,0.1,113.5,0.4424778761061843,4.7318028369214575,,-0.00567150011506222,3.9900556519819608
2025/Q1,-0.2,113.5,0.0,4.7318028369214575,,-0.010922293528630056,3.9877567617081087
2025/Q2,0.6,113.4,-0.08810572687224516,4.730921391293652,,-0.013070175230077925,3.9814735140943314
